bias_central,beta_central,q1_central,kvav_central,av_central,bv_central,kp_central,q2_central,Delta2_p_central,n_p_central,mF_central,gamma_central,sigT_Mpc_central,kF_Mpc_central,T0_central,bias_min,beta_min,q1_min,kvav_min,av_min,bv_min,kp_min,q2_min,Delta2_p_min,n_p_min,mF_min,gamma_min,sigT_Mpc_min,kF_Mpc_min,T0_min,bias_max,beta_max,q1_max,kvav_max,av_max,bv_max,kp_max,q2_max,Delta2_p_max,n_p_max,mF_max,gamma_max,sigT_Mpc_max,kF_Mpc_max,T0_max,z
-0.7170008578666656,0.3959806066572652,1.0995404888393534,1.3744548868107604,0.5073300725927123,1.81830760770955,18.64529993871549,0.6392698411065187,0.1866770195463041,-2.3000472014864646,0.21501431598191986,1.4333671132654395,0.09836390937911825,14.738186021221429,9243.704096515474,-1.0059900202477392,0.10626478201557485,0.23356608926239336,0.8813261239841739,0.3099090457383964,1.3585622833553597,16.220233800182626,2.2452082580817084e-07,0.13511856355973448,-2.348380201486465,0.12893673879657955,1.1206344042146754,0.07731060572207875,13.195425451396645,5710.227245405382,-0.5345982797452922,0.745899608600873,2.341685212316012,3.8630811107620358,0.9065407130468626,2.1911356328029674,30.264266747880953,1.6363118236113139,0.23823558365179512,-2.251713201486463,0.32108429349527673,1.7297060939698399,0.12150317367630814,18.45219225632039,14104.319845698561,4.5
-0.6005423746448253,0.47801968896408165,1.0990558206942778,1.4501292630789324,0.6216796259573663,1.8210337034869029,18.901715480429772,0.1423221741961554,0.20471600373879648,-2.3000472064538933,0.2879377190144616,1.427603005400477,0.10539599485061422,13.688243627027553,10149.687042958696,-0.841616243361097,0.1880513012332128,0.3096705643840745,0.4584028485844803,-0.006448410084179481,1.643529314198819,13.13268892459266,3.9098420080742803e-07,0.14817534814998654,-2.3483802064538923,0.1917864849289316,1.1159244635882688,0.08240481097908393,12.186682138000059,6204.550290201857,-0.46591418034074006,0.8642824571034411,1.9274159782134854,3.0488799066399617,0.9631909490685611,2.0674915323300818,26.36825977626596,1.2473889027593503,0.2612567778942816,-2.251713206453893,0.38662708067359347,1.7249005040668075,0.1275973413051027,16.898743113656437,14876.201209115068,4.25
-0.507077092386562,0.6398555177970999,0.6472961750240043,0.9926334866326432,0.5035342839404671,1.840034703685589,15.809338581762844,0.5679589282942439,0.22548694376958014,-2.3000471362435277,0.3670043539786525,1.436694456586008,0.11256802789794745,12.841201989686333,11052.271464587524,-0.6935043554716191,0.2973345730719882,0.2692372951257572,0.5162373642029188,0.06266084591091914,1.6038208965119471,11.707725232977143,1.0905616341108544e-08,0.16320954779365868,-2.348380136243527,0.2671626762295382,1.1280230545529928,0.08785083352851636,11.348256543957135,6731.532846184885,-0.4002144656584756,0.9269786680290452,1.610592933223713,2.3471579807890492,0.996093716481637,2.0075308351505594,29.203367501992133,0.8422450091325498,0.2877644703422139,-2.2517131362435268,0.45540386119883763,1.7315600038831436,0.13587761289506367,15.634896485894503,16103.366605232639,4.0
-0.4196195207428999,0.7768605300968965,0.5804310002331718,0.9190097053568347,0.5499815196727365,1.821191848737345,15.936292557641472,0.3992314383079807,0.2495656425313022,-2.300047017044369,0.4473467921687004,1.4561190023186839,0.11961105828712076,12.137943241597341,11888.134595280479,-0.5660348922004139,0.43978673959963327,0.2796262950394466,0.5243706679496171,0.23379909542943678,1.6048343449683178,14.66245887155247,2.8720605553925805e-06,0.1806379339816244,-2.3483800170443696,0.3500563469498039,1.1539740543527763,0.0933926737574176,10.709557655282971,7247.688360077984,-0.3338356712992294,1.0505063920847562,1.3652499256015629,1.9713068382372332,0.9788290966285178,1.962254844011408,27.957378657214548,0.8634341485674115,0.3184934956235063,-2.2517130170443695,0.5244408725117641,1.7506801475022058,0.1438409658237802,14.584159417909293,17192.372195470754,3.75
-0.34706536708525754,0.9385219204076753,0.45923295964228805,0.7710786691007789,0.5285607131669784,1.8303631088333974,15.380749120390226,0.39451372830949377,0.27768600086608436,-2.3000471716955513,0.5237548180726918,1.480421138593295,0.12509011506724124,11.557444925607044,12360.759933736792,-0.4643025183003828,0.5951797701887567,0.2400746196290664,0.4492011954275662,0.20473615136614176,1.6616691829000398,14.384812927908705,0.0002923530852760978,0.2009917109715036,-2.3483801716955526,0.43356035378040997,1.1850396828070362,0.09824357914740793,10.24450777234574,7624.4594986727325,-0.28173387227600943,1.247206392580844,1.0792525403948146,1.6746174536192173,1.0256479481644738,2.0472708421121366,23.873188999141846,0.7393580655287308,0.35438045158983916,-2.251713171695551,0.5908375797587638,1.770847738402675,0.14965612424660052,13.714019672104259,17692.436226938677,3.5
-0.28520764803640786,1.0600848929221485,0.4596063806409978,0.7352157158624371,0.5694417091884882,1.819746574463469,16.281795962773565,0.24832344906083514,0.31079419600143793,-2.3000470882011004,0.5943718498409588,1.4976862040208383,0.1268464296335079,11.064299239950309,12056.196689149658,-0.3745034016244948,0.7552901342820495,0.20727650217311094,0.4232552979208999,0.24073933709399375,1.6614285265026076,13.176781559205704,0.000208094198068664,0.22495573064364535,-2.3483800882011003,0.5127608285430171,1.2099130398014084,0.10027338919959633,9.77742434314544,7534.026702681712,-0.2309077110897794,1.4232215255257912,0.9851882989061602,1.4805415749490995,0.9759280336095231,1.9774494355671293,22.544856244937257,0.6314645508054131,0.39663284136389004,-2.251713088201102,0.6533995889357466,1.7837479941398324,0.15121696493382866,12.966837582690644,17133.81200557796,3.25
-0.23155833494257272,1.2446419211029789,0.30332181051779095,0.5844577462010916,0.42505690359953696,1.775970274217872,14.24769458490131,0.38957255238931354,0.3501252719027313,-2.300047197725595,0.6604100706377194,1.512170923999183,0.12817463664956008,10.6348381789184,11649.158154478646,-0.3030151339607874,0.9302959262891316,0.1700883446006758,0.403077781351977,0.2408259291969847,1.6338848960765429,12.577539923942364,0.0013687875517061326,0.2534239293108275,-2.348380197725596,0.5876844896759704,1.2311403771698655,0.10179342907363102,9.336019536942688,7347.364439530804,-0.1872558458437351,1.5869006005172726,0.9309321731685798,1.1846848081647714,0.9624523638501955,1.9563149388371315,25.82636021240407,0.5392419311574141,0.44682681727892476,-2.2517131977255933,0.712821392038021,1.7944099282755002,0.1525067452420377,12.302886182071042,16491.790529869515,3.0
-0.18689571951277434,1.373490022378327,0.2659790185099044,0.5350104492276735,0.37503143115104287,1.733506409156723,13.73075786311376,0.36497386529572656,0.39731275008796246,-2.3000472359960273,0.7193845721500547,1.5246254858011445,0.12913148261050889,10.258134266642543,11162.100581781537,-0.24626419766371627,1.1050929732584636,0.10839418445553878,0.37966010827145436,0.21245324805014626,1.609048931628264,11.20046794645103,0.0027716081448862107,0.2875786650457915,-2.348380235996029,0.6543724781683221,1.2470176154848414,0.10287014505807608,8.949320985454014,7083.719182114049,-0.14951958540760085,1.690219193266091,0.7362823055796186,1.049791984591236,0.9076032891310637,1.8538413493672934,24.96895262594261,0.6146514766787414,0.5070470652442954,-2.251713235996029,0.7662816724556426,1.803188717100186,0.1533653533797325,11.701191003596419,15744.747254287364,2.75
-0.14804755962211466,1.491068801943772,0.2973831827683374,0.5268470757264626,0.3473103776931342,1.6808120066902523,13.403410933478826,0.3024351570963627,0.45454866685139866,-2.300047295532604,0.7711421019487098,1.535466821877,0.1299303986700837,9.913779464637742,10642.757207162698,-0.19855824779361358,1.203767716820513,0.07272849540195354,0.29723451505776477,0.043878705775542606,1.6121889747388307,10.650874559646773,0.0006475043736461428,0.3290065541126712,-2.348380295532603,0.7125225952324262,1.2614407193153594,0.10371598025337996,8.59136453101764,6781.498096676507,-0.11473366147897196,1.8258317219540796,0.6241752692737319,0.8503529123956535,0.7276988915547944,1.7934687781803673,23.83206285662706,0.5555604240507651,0.5800910428539803,-2.251713295532604,0.8129813754397271,1.8110111010994545,0.15416570721651873,11.456678932131707,14983.306851484165,2.5
-0.11827885375432629,1.5572922896192773,0.24213826207691902,0.48626056199316725,0.28937603761862674,1.6571698616508508,12.594316639912861,0.29286144649187884,0.5248192498123233,-2.300047479508034,0.8147147072328288,1.5449855838581277,0.13057072693276947,9.574544756852742,10099.458942195322,-0.16101452432616092,1.315510382636961,0.12752901324611315,0.3631488660922476,0.12435627565870189,1.5583728053235653,10.255380777917582,0.007126609621026007,0.37986905584567254,-2.348380479508034,0.7613106855083273,1.2738314197015752,0.10441112023822384,8.176229314371277,6458.054680204504,-0.08936617823996366,1.8427947580928015,0.6931186301614298,0.878235367626738,0.6740403081159716,1.7359188520845126,24.227794775449468,0.49697833581969797,0.6697697477418906,-2.2517134795080325,0.8516903205478674,1.8180677051908607,0.15467354658047439,11.25420639987635,14172.218222925812,2.25
-0.09267508143551889,1.5922490053114524,0.29602431894176595,0.5021088054481817,0.295249704451251,1.6171814202681105,12.7033478447361,0.21026504231536125,0.6122587066345718,-2.3000473406222386,0.8507983246960268,1.5534927645653829,0.1308387722980639,9.234642271117814,9511.380568368437,-0.12800987402997321,1.320983787530026,1.0008876730776689e-05,0.28399615259152877,-0.03733947851341876,1.5281944898060082,9.18306393445345,1.5330180194034374e-05,0.44315854821586226,-2.348380340622238,0.8021870981846373,1.2844337036250562,0.10477781506915927,7.9043131355129175,6099.720183797564,-0.06952826233067794,1.8824819016466439,0.6491330623585763,0.7348324489789104,0.5632183931482102,1.6809020055017005,20.758143800853055,0.39651279113301185,0.7813592196590663,-2.2517133406222367,0.883125931992812,1.8243276119054197,0.1548976469710291,11.02797451129787,13330.895897483415,2.0
